DES,WCH,STK,SMART/FWB,,,,,
DES,UTDI,STK,SMART/FWB,,,,,
DES,TUI1,STK,SMART/FWB,,,,,
DES,8TRA,STK,SMART/FWB,,,,,
DES,TKA,STK,SMART/FWB,,,,,
DES,TMV,STK,SMART/FWB,,,,,
DES,TLX,STK,SMART/FWB,,,,,
DES,TEG,STK,SMART/FWB,,,,,
DES,SAX,STK,SMART/FWB,,,,,
DES,STM,STK,SMART/FWB,,,,,
DES,WAF,STK,SMART/FWB,,,,,
DES,G24,STK,SMART/FWB,,,,,
DES,RRTL,STK,SMART/FWB,,,,,
DES,RDC,STK,SMART/FWB,,,,,
DES,RAA,STK,SMART/FWB,,,,,
DES,PUM,STK,SMART/FWB,,,,,
DES,NDX1,STK,SMART/FWB,,,,,
DES,NEM,STK,SMART/FWB,,,,,
DES,LEG,STK,SMART/FWB,,,,,
DES,LXS,STK,SMART/FWB,,,,,
DES,KRN,STK,SMART/FWB,,,,,
DES,KBX,STK,SMART/FWB,,,,,
DES,KGX,STK,SMART/FWB,,,,,
DES,SDF,STK,SMART/FWB,,,,,
DES,JUN3,STK,SMART/FWB,,,,,
DES,JEN,STK,SMART/FWB,,,,,
DES,BOSS,STK,SMART/FWB,,,,,
DES,HOT,STK,SMART/FWB,,,,,
DES,HAG,STK,SMART/FWB,,,,,
DES,HFG,STK,SMART/FWB,,,,,
DES,HLE,STK,SMART/FWB,,,,,
DES,GXI,STK,SMART/FWB,,,,,
DES,G1A,STK,SMART/FWB,,,,,
DES,FPE3,STK,SMART/FWB,,,,,
DES,FRE,STK,SMART/FWB,,,,,
DES,FNTN,STK,SMART/FWB,,,,,
DES,FRA,STK,SMART/FWB,,,,,
DES,EVT,STK,SMART/FWB,,,,,
DES,EVK,STK,SMART/FWB,,,,,
DES,ECV,STK,SMART/FWB,,,,,
DES,LHA,STK,SMART/FWB,,,,,
DES,DHER,STK,SMART/FWB,,,,,
DES,EVD,STK,SMART/FWB,,,,,
DES,AFX,STK,SMART/FWB,,,,,
DES,GBF,STK,SMART/FWB,,,,,
DES,BFSA,STK,SMART/FWB,,,,,
DES,BC8,STK,SMART/FWB,,,,,
DES,NDA,STK,SMART/FWB,,,,,
DES,AT1,STK,SMART/FWB,,,,,
DES,AIXA,STK,SMART/FWB,,,,,
