DES,1U1,STK,SMART/FWB,,,,,
DES,ADN1,STK,SMART/FWB,,,,,
DES,ADV,STK,SMART/FWB,,,,,
DES,ACT,STK,SMART/FWB,,,,,
DES,AAD,STK,SMART/FWB,,,,,
DES,AOF,STK,SMART/FWB,,,,,
DES,AG1,STK,SMART/FWB,,,,,
DES,BVB,STK,SMART/FWB,,,,,
DES,COK,STK,SMART/FWB,,,,,
DES,CEC,STK,SMART/FWB,,,,,
DES,CWC,STK,SMART/FWB,,,,,
DES,COP,STK,SMART/FWB,,,,,
DES,DMP,STK,SMART/FWB,,,,,
DES,DBAN,STK,SMART/FWB,,,,,
DES,DEQ,STK,SMART/FWB,,,,,
DES,PBB,STK,SMART/FWB,,,,,
DES,DWNI,STK,SMART/FWB,,,,,
DES,DEZ,STK,SMART/FWB,,,,,
DES,DOU,STK,SMART/FWB,,,,,
DES,DRW3,STK,SMART/FWB,,,,,
DES,DUE,STK,SMART/FWB,,,,,
DES,DWS,STK,SMART/FWB,,,,,
DES,EUZ,STK,SMART/FWB,,,,,
DES,ELG,STK,SMART/FWB,,,,,
DES,ECV,STK,SMART/FWB,,,,,
DES,EKT,STK,SMART/FWB,,,,,
DES,EVT,STK,SMART/FWB,,,,,
DES,FIE,STK,SMART/FWB,,,,,
DES,FTK,STK,SMART/FWB,,,,,
DES,GFT,STK,SMART/FWB,,,,,
DES,GYC,STK,SMART/FWB,,,,,
DES,GLJ,STK,SMART/FWB,,,,,
DES,HABA,STK,SMART/FWB,,,,,
DES,HDD,STK,SMART/FWB,,,,,
DES,HBH,STK,SMART/FWB,,,,,
DES,INH,STK,SMART/FWB,,,,,
DES,IOS,STK,SMART/FWB,,,,,
DES,JST,STK,SMART/FWB,,,,,
DES,KCO,STK,SMART/FWB,,,,,
DES,KTN,STK,SMART/FWB,,,,,
DES,KSB,STK,SMART/FWB,,,,,
DES,KWS,STK,SMART/FWB,,,,,
DES,ILM1,STK,SMART/FWB,,,,,
DES,B4B,STK,SMART/FWB,,,,,
DES,MLP,STK,SMART/FWB,,,,,
DES,MUX,STK,SMART/FWB,,,,,
DES,NA9,STK,SMART/FWB,,,,,
DES,NOEJ,STK,SMART/FWB,,,,,
DES,PAT,STK,SMART/FWB,,,,,
DES,PNE3,STK,SMART/FWB,,,,,
DES,PSM,STK,SMART/FWB,,,,,
DES,TPE,STK,SMART/FWB,,,,,
DES,R3NK,STK,SMART/FWB,,,,,
DES,SFQ,STK,SMART/FWB,,,,,
DES,SZG,STK,SMART/FWB,,,,,
DES,SHA0,STK,SMART/FWB,,,,,
DES,F3C,STK,SMART/FWB,,,,,
DES,SGL,STK,SMART/FWB,,,,,
DES,SIX2,STK,SMART/FWB,,,,,
DES,S92,STK,SMART/FWB,,,,,
DES,STO3,STK,SMART/FWB,,,,,
DES,SBS,STK,SMART/FWB,,,,,
DES,SZU,STK,SMART/FWB,,,,,
DES,SMHN,STK,SMART/FWB,,,,,
DES,TTK,STK,SMART/FWB,,,,,
DES,NCH2,STK,SMART/FWB,,,,,
DES,VBK,STK,SMART/FWB,,,,,
DES,VOS,STK,SMART/FWB,,,,,
DES,WAC,STK,SMART/FWB,,,,,
