Symbol;last price;price 3mo;price 6mo;price 9mo;price 12mo;change 3mo;change 6mo;change 9mo;change 12mo;Weighted Change;Relative Strength Rating
MMM;129.48;127.11;125.32;93.28;75.06;1.86;3.32;38.81;72.5;23.67;86
DELL;136.01;123.19;112.89;123.29;81.62;10.41;20.48;10.32;66.64;23.65;86
PKG;238.11;227.58;197.34;169.63;161.46;4.63;20.66;40.37;47.47;23.55;86
BLK;1049.97;975.26;865.64;740.69;754.96;7.66;21.29;41.76;39.08;23.49;85
PNR;105.87;98.89;87.41;78.45;72.34;7.06;21.12;34.95;46.35;23.31;85
EMR;128.63;107.28;115.51;105.78;89.5;19.9;11.36;21.6;43.72;23.3;85
NOW;1005.34;932.99;814.39;693.33;765.4;7.75;23.45;45.0;31.35;23.06;85
PM;131.72;131.23;112.42;91.41;86.28;0.37;17.17;44.1;52.67;22.94;85
TRMB;69.88;60.5;54.54;60.07;50.86;15.5;28.13;16.33;37.4;22.57;84
CRWD;342.97;296.87;231.96;292.54;292.5;15.53;47.86;17.24;17.25;22.68;84
COF;182.27;161.54;149.61;141.1;132.36;12.83;21.83;29.18;37.71;22.88;84
NI;36.81;34.89;30.75;26.88;25.06;5.5;19.71;36.94;46.89;22.91;84
ISRG;531.64;503.84;444.61;370.62;378.22;5.52;19.57;43.45;40.56;22.92;84
JPM;245.03;220.57;210.34;188.42;170.29;11.09;16.49;30.04;43.89;22.52;83
EQT;44.09;36.2;34.06;39.38;34.65;21.8;29.45;11.96;27.24;22.45;83
BAC;46.72;41.55;39.81;36.29;33.09;12.44;17.36;28.74;41.19;22.43;83
CEG;229.92;262.06;188.86;184.66;120.88;-12.26;21.74;24.51;90.21;22.39;83
APD;327.89;308.68;260.48;231.62;249.01;6.22;25.88;41.56;31.68;22.31;83
CINF;152.13;140.0;128.92;113.42;107.83;8.66;18.0;34.13;41.08;22.11;82
NDAQ;79.78;73.68;67.18;59.19;56.91;8.28;18.76;34.79;40.19;22.06;82
T;22.99;22.25;18.72;16.16;16.66;3.33;22.81;42.26;38.0;21.95;82
SRE;92.92;82.75;78.81;69.9;69.26;12.29;17.9;32.93;34.16;21.91;82
SPG;180.85;167.01;149.56;135.22;131.45;8.29;20.92;33.75;37.58;21.77;82
VTR;63.86;65.03;53.58;43.13;44.79;-1.8;19.19;48.06;42.58;21.25;81
RL;207.83;197.1;174.04;161.53;141.08;5.44;19.42;28.66;47.31;21.25;81
BSX;90.45;84.02;73.88;71.87;63.26;7.65;22.43;25.85;42.98;21.31;81
SNA;357.34;327.91;283.18;262.55;282.18;8.98;26.19;36.1;26.64;21.38;81
PEG;89.43;88.74;78.53;67.38;56.05;0.78;13.88;32.72;59.55;21.54;81
AFL;112.04;104.29;94.38;82.25;82.51;7.43;18.71;36.22;35.79;21.12;80
CTAS;215.81;203.76;188.71;162.26;147.51;5.91;14.36;33.0;46.3;21.1;80
PYPL;84.67;79.3;65.78;67.92;61.35;6.77;28.72;24.66;38.01;20.99;80
INCY;76.97;74.12;65.07;52.05;58.77;3.85;18.29;47.88;30.97;20.97;80
GLW;46.16;46.99;39.21;32.43;31.26;-1.77;17.73;42.34;47.66;20.84;80
DECK;176.45;160.89;153.77;136.41;125.62;9.67;14.75;29.35;40.46;20.78;79
FITB;46.82;43.3;41.57;35.45;32.95;8.13;12.63;32.07;42.09;20.61;79
KIM;25.1;23.48;21.24;17.99;19.19;6.9;18.17;39.52;30.8;20.46;79
DLR;183.29;176.88;147.15;135.45;135.86;3.62;24.56;35.32;34.91;20.41;79
HPE;21.38;19.35;19.65;16.66;14.86;10.49;8.8;28.33;43.88;20.4;79
DVA;157.41;139.81;136.62;139.01;108.16;12.59;15.22;13.24;45.53;19.83;78
SCHW;81.11;70.31;64.5;72.87;61.72;15.36;25.75;11.31;31.42;19.84;78
PGR;256.52;242.73;213.93;207.97;177.12;5.68;19.91;23.34;44.83;19.89;78
EBAY;61.41;57.25;55.07;50.77;40.21;7.27;11.51;20.96;52.72;19.95;78
WAB;195.26;187.55;160.59;160.29;130.73;4.11;21.59;21.82;49.36;20.2;78
FFIV;239.99;233.88;203.64;165.31;183.7;2.61;17.85;45.18;30.64;19.78;77
BRO;109.63;104.36;99.01;81.06;77.1;5.05;10.73;35.25;42.19;19.65;77
