Symbol;last price;price 3mo;price 6mo;price 9mo;price 12mo;change 3mo;change 6mo;change 9mo;change 12mo;Weighted Change;Relative Strength Rating
LVS;48.95;51.38;39.14;43.59;47.88;-4.73;25.06;12.3;2.23;6.03;40
VZ;42.25;41.48;39.25;37.65;39.7;1.86;7.64;12.22;6.42;6.0;40
CTRA;25.91;23.52;25.17;26.49;23.91;10.16;2.94;-2.19;8.36;5.89;40
CTSH;76.87;74.3;75.06;64.89;75.88;3.46;2.41;18.46;1.3;5.82;40
UHS;197.94;204.14;213.36;169.9;158.08;-3.04;-7.23;16.5;25.22;5.68;39
DTE;120.5;123.21;118.47;107.42;101.72;-2.2;1.71;12.18;18.46;5.59;39
INVH;34.15;31.16;34.71;33.39;31.62;9.6;-1.61;2.28;8.0;5.57;39
KMX;77.1;72.38;84.44;67.97;71.18;6.52;-8.69;13.43;8.32;5.22;39
F;11.06;10.0;10.39;11.36;10.95;10.6;6.45;-2.64;1.0;5.2;39
MDT;87.59;88.55;78.99;78.26;84.67;-1.08;10.89;11.92;3.45;4.82;38
MAS;76.8;79.32;76.95;67.39;65.92;-3.18;-0.19;13.96;16.5;4.78;38
COR;242.32;227.07;236.29;236.95;230.03;6.72;2.55;2.27;5.34;4.72;38
DOC;20.59;21.84;20.89;17.51;17.11;-5.72;-1.44;17.59;20.34;5.01;38
KMB;136.01;133.07;132.74;132.89;116.61;2.21;2.46;2.35;16.64;5.17;38
AWK;135.89;136.59;140.0;119.59;120.56;-0.51;-2.94;13.63;12.72;4.48;37
GPN;116.06;103.47;101.14;121.93;132.07;12.17;14.75;-4.81;-12.12;4.43;37
CTVA;56.99;60.74;55.77;53.66;44.92;-6.17;2.19;6.21;26.87;4.59;37
STX;97.02;99.7;100.82;84.09;83.16;-2.69;-3.77;15.38;16.67;4.58;37
ANSS;336.4;320.41;313.63;324.88;327.83;4.99;7.26;3.55;2.61;4.68;37
PTC;189.26;185.33;177.85;177.44;180.65;2.12;6.42;6.66;4.77;4.42;36
MCD;291.1;290.42;262.16;268.18;285.8;0.23;11.04;8.55;1.85;4.38;36
HAS;61.69;64.93;63.78;59.99;47.24;-4.99;-3.28;2.83;30.59;4.03;36
FANG;181.0;173.8;196.96;192.56;144.07;4.14;-8.1;-6.0;25.63;3.96;36
ACGL;92.22;93.72;91.08;88.95;78.38;-1.6;1.25;3.68;17.66;3.88;36
DE;404.53;403.27;369.23;387.08;387.8;0.31;9.56;4.51;4.31;3.8;35
CTLT;58.78;58.6;59.34;55.85;51.64;0.31;-0.94;5.25;13.83;3.75;35
CL;94.62;93.24;98.2;90.47;82.38;1.48;-3.65;4.59;14.86;3.75;35
LEN;167.92;169.83;175.83;150.18;147.95;-1.12;-4.5;11.81;13.5;3.71;35
HSIC;73.89;70.23;71.94;69.28;74.84;5.21;2.71;6.65;-1.27;3.7;35
VRTX;467.01;475.98;495.72;392.81;433.38;-1.88;-5.79;18.89;7.76;3.42;34
SBAC;220.62;227.42;216.5;182.73;218.98;-2.99;1.9;20.74;0.75;3.48;34
MSFT;415.76;405.62;416.85;387.21;394.62;2.5;-0.26;7.37;5.36;3.49;34
JBHT;183.58;179.75;171.87;161.05;198.62;2.13;6.81;13.99;-7.57;3.5;34
OMC;98.33;100.32;96.63;90.82;87.69;-1.98;1.76;8.27;12.13;3.64;34
ROP;549.37;536.98;543.27;509.36;534.03;2.31;1.12;7.85;2.87;3.29;33
HES;146.88;133.96;152.36;155.94;138.73;9.64;-3.6;-5.81;5.87;3.15;33
COO;99.48;104.68;93.33;89.06;93.26;-4.97;6.59;11.7;6.67;3.0;33
O;56.52;58.34;55.88;51.34;51.44;-3.12;1.15;10.09;9.88;2.98;33
CMCSA;43.0;43.35;40.63;37.24;45.18;-0.81;5.83;15.47;-4.83;2.97;33
BLDR;178.3;171.4;167.37;182.82;173.73;4.03;6.53;-2.47;2.63;2.95;32
CSX;34.97;33.52;34.85;32.88;35.21;4.33;0.34;6.36;-0.68;2.94;32
AIG;76.31;75.46;78.37;74.14;68.06;1.13;-2.63;2.93;12.12;2.94;32
AMCR;10.15;11.01;10.28;8.61;8.96;-7.81;-1.26;17.89;13.28;2.86;32
ES;62.07;65.15;63.46;58.54;51.81;-4.73;-2.19;6.03;19.8;2.84;32
BWA;34.38;33.52;35.09;32.45;33.46;2.57;-2.02;5.95;2.75;2.36;31
ALB;104.03;94.3;92.9;118.94;113.11;10.32;11.98;-12.54;-8.03;2.41;31
KEYS;151.42;149.01;139.57;147.94;153.26;1.62;8.49;2.35;-1.2;2.58;31
ROST;141.3;139.38;142.52;128.58;138.88;1.38;-0.86;9.89;1.74;2.71;31
CCI;104.59;106.08;106.93;89.8;102.27;-1.4;-2.19;16.47;2.27;2.75;31
VLO;144.01;128.9;159.55;157.72;134.9;11.72;-9.74;-8.69;6.75;2.35;30
LIN;448.57;454.81;450.72;436.97;399.93;-1.37;-0.48;2.65;12.16;2.32;30
TEL;148.36;146.78;153.01;139.69;139.76;1.08;-3.04;6.21;6.15;2.3;30
DPZ;444.9;412.19;425.89;524.04;420.74;7.94;4.46;-15.1;5.74;2.2;30
UBER;69.33;72.05;64.47;66.27;65.27;-3.78;7.54;4.62;6.22;2.16;30
COP;112.97;108.0;108.94;122.2;108.28;4.6;3.7;-7.55;4.33;1.94;29
MLM;581.64;591.46;591.71;584.69;505.55;-1.66;-1.7;-0.52;15.05;1.9;29
EG;373.33;353.75;388.8;361.0;377.69;5.53;-3.98;3.42;-1.15;1.87;29
DHI;161.06;168.32;178.82;141.32;141.41;-4.31;-9.93;13.97;13.9;1.86;29
YUM;134.01;130.51;131.52;139.16;126.98;2.68;1.89;-3.7;5.54;1.82;29
NOC;488.68;507.02;480.29;479.02;439.48;-3.62;1.75;2.02;11.2;1.55;28
ERIE;412.63;447.79;438.59;379.23;341.42;-7.85;-5.92;8.81;20.86;1.61;28
QCOM;164.5;161.93;179.28;163.49;145.47;1.59;-8.24;0.62;13.08;1.73;28
GEHC;82.72;87.32;84.57;76.16;73.25;-5.27;-2.19;8.61;12.93;1.76;28
FTV;74.61;71.35;71.69;75.04;77.84;4.57;4.07;-0.57;-4.15;1.7;28
NDSN;253.45;247.14;248.95;256.11;249.01;2.55;1.81;-1.04;1.78;1.53;27
NEM;42.36;45.22;48.54;39.89;33.54;-6.32;-12.73;6.19;26.3;1.42;27
ED;95.63;99.99;95.08;91.18;87.0;-4.36;0.58;4.88;9.92;1.33;27
PLD;114.65;112.11;124.05;99.69;122.98;2.27;-7.58;15.01;-6.77;1.04;27
GD;286.0;290.21;295.8;282.9;259.74;-1.45;-3.31;1.1;10.11;1.0;27
BG;90.62;82.8;103.03;98.89;85.08;9.44;-12.05;-8.36;6.51;1.0;26
UPS;133.49;130.77;125.77;140.69;133.8;2.08;6.14;-5.12;-0.23;0.99;26
JNJ;154.77;158.66;155.4;141.28;154.03;-2.45;-0.41;9.55;0.48;0.94;26
EXPD;120.33;119.0;124.07;110.64;124.84;1.12;-3.01;8.76;-3.61;0.88;26
SYY;75.76;74.45;75.58;72.83;78.77;1.76;0.24;4.02;-3.82;0.79;26
MNST;53.27;52.68;51.45;53.45;55.02;1.12;3.54;-0.34;-3.18;0.45;25
WY;31.02;30.96;31.34;29.47;31.82;0.19;-1.02;5.26;-2.51;0.42;25
ZTS;176.42;178.36;179.19;158.04;185.97;-1.09;-1.55;11.63;-5.14;0.55;25
JKHY;172.06;181.35;170.38;161.13;163.7;-5.12;0.99;6.78;5.11;0.53;25
AMT;198.84;212.0;217.01;167.41;189.42;-6.21;-8.37;18.77;4.97;0.59;25
MKC;74.62;77.83;76.15;74.8;66.62;-4.12;-2.01;-0.24;12.01;0.3;24
BALL;60.86;59.06;63.45;68.93;54.74;3.05;-4.08;-11.71;11.18;0.3;24
HOLX;78.79;80.87;81.61;75.77;74.44;-2.57;-3.46;3.99;5.84;0.25;24
HCA;335.85;358.14;361.74;308.07;302.49;-6.22;-7.16;9.02;11.03;0.09;24
MPC;159.92;144.77;175.34;179.12;162.34;10.46;-8.79;-10.72;-1.49;-0.02;24
CI;322.45;313.6;345.91;352.74;295.94;2.82;-6.78;-8.59;8.96;-0.15;23
ZBH;113.02;106.68;110.86;119.52;124.56;5.94;1.95;-5.44;-9.26;-0.17;23
XYL;122.46;121.46;132.8;129.64;111.16;0.82;-7.79;-5.54;10.17;-0.3;23
WDC;64.58;65.31;67.05;70.83;57.25;-1.12;-3.68;-8.82;12.8;-0.39;23
LW;76.46;76.86;59.12;81.8;100.24;-0.52;29.33;-6.53;-23.72;-0.39;23
HST;17.41;17.05;17.12;18.27;18.2;2.11;1.69;-4.71;-4.34;-0.63;22
ADI;209.65;222.24;229.56;198.1;189.06;-5.67;-8.67;5.83;10.89;-0.66;22
PSX;130.17;119.75;141.88;138.67;138.46;8.7;-8.25;-6.13;-5.99;-0.59;22
STZ;237.06;230.39;242.13;249.43;240.27;2.9;-2.09;-4.96;-1.34;-0.52;22
UNP;234.41;230.84;244.03;233.36;238.69;1.55;-3.94;0.45;-1.79;-0.44;22
BEN;21.8;20.46;22.22;21.94;25.31;6.55;-1.89;-0.64;-13.87;-0.66;21
POOL;359.63;359.17;370.3;357.93;365.32;0.13;-2.88;0.47;-1.56;-0.74;21
WYNN;90.22;95.45;82.12;90.66;93.13;-5.48;9.86;-0.49;-3.12;-0.94;21
SNPS;523.98;513.61;558.32;530.59;533.35;2.02;-6.15;-1.25;-1.76;-1.02;21
STE;217.09;221.32;237.64;203.15;216.88;-1.91;-8.65;6.86;0.1;-1.1;21
SLB;43.49;39.81;47.67;46.61;47.57;9.24;-8.77;-6.69;-8.58;-1.11;20
KO;61.86;64.87;65.78;60.39;57.71;-4.64;-5.96;2.43;7.19;-1.12;20
VRSN;179.2;176.84;187.01;169.48;198.88;1.33;-4.18;5.74;-9.9;-1.14;20
TXT;83.34;80.4;92.86;84.53;84.63;3.66;-10.25;-1.41;-1.52;-1.17;20
EW;69.89;67.01;63.05;84.67;78.47;4.3;10.85;-17.46;-10.93;-1.79;20
EFX;245.29;264.68;278.57;219.22;242.81;-7.33;-11.95;11.89;1.02;-2.74;19
MU;97.51;99.54;109.6;112.63;85.38;-2.04;-11.03;-13.42;14.21;-2.86;19
ADBE;499.51;478.08;551.65;462.83;617.78;4.48;-9.45;7.93;-19.14;-2.34;19
ALGN;229.9;205.03;231.88;282.38;267.32;12.13;-0.85;-18.58;-14.0;-1.83;19
FCX;43.55;44.88;45.14;49.49;39.19;-2.96;-3.52;-12.0;11.13;-2.06;19
PPG;122.75;123.13;124.96;126.36;137.46;-0.31;-1.77;-2.86;-10.7;-3.19;18
JNPR;35.61;38.68;37.25;34.21;36.02;-7.94;-4.4;4.09;-1.14;-3.47;18
LULU;309.53;297.9;258.66;360.6;453.82;3.9;19.67;-14.16;-31.79;-3.7;18
RVTY;109.47;118.52;125.46;102.27;106.9;-7.64;-12.75;7.04;2.4;-3.72;18
CPB;43.52;46.29;46.12;44.61;43.2;-5.98;-5.64;-2.44;0.74;-3.86;18
KDP;31.24;32.75;33.86;33.05;30.63;-4.61;-7.74;-5.48;1.99;-4.09;17
HAL;30.45;27.58;34.31;36.89;34.94;10.41;-11.25;-17.46;-12.85;-4.15;17
BDX;224.1;232.64;239.13;231.78;234.98;-3.67;-6.29;-3.31;-4.63;-4.31;17
AVY;198.31;206.2;215.13;214.77;196.33;-3.83;-7.82;-7.66;1.01;-4.43;17
SJM;109.39;111.39;114.67;110.71;125.61;-1.8;-4.6;-1.19;-12.91;-4.46;17
GPC;124.19;113.86;145.03;153.96;136.36;9.07;-14.37;-19.34;-8.92;-4.9;16
LKQ;37.77;36.23;40.59;41.94;45.09;4.25;-6.95;-9.94;-16.23;-4.92;16
PEP;158.33;164.82;170.02;171.9;163.44;-3.94;-6.88;-7.89;-3.13;-5.16;16
IFF;86.61;99.04;98.68;83.57;78.87;-12.55;-12.23;3.64;9.81;-4.78;16
A;126.92;130.1;140.91;136.35;129.22;-2.44;-9.93;-6.92;-1.78;-4.7;16
TER;104.15;106.11;130.92;115.97;96.19;-1.85;-20.45;-10.19;8.28;-5.21;15
GIS;62.88;67.45;65.94;68.62;62.64;-6.78;-4.64;-8.36;0.38;-5.24;15
LLY;726.0;827.21;800.46;776.04;640.24;-12.24;-9.3;-6.45;13.39;-5.37;15
HRL;29.4;30.27;31.53;34.63;29.31;-2.87;-6.76;-15.1;0.31;-5.46;15
ADM;52.71;54.74;60.99;57.15;53.82;-3.71;-13.58;-7.77;-2.06;-6.17;15
WST;307.01;307.73;305.77;356.82;371.92;-0.23;0.41;-13.96;-17.45;-6.29;14
MGM;37.15;36.87;42.97;39.44;43.37;0.76;-13.54;-5.81;-14.34;-6.43;14
NUE;147.25;141.33;161.79;166.87;184.53;4.19;-8.99;-11.76;-20.2;-6.51;14
ARE;105.22;110.35;114.73;112.19;115.91;-4.65;-8.29;-6.21;-9.22;-6.6;14
NXPI;220.19;233.47;261.07;253.06;207.04;-5.69;-15.66;-12.99;6.35;-6.74;14
ABBV;166.28;202.25;182.18;158.4;158.6;-17.78;-8.73;4.97;4.84;-6.9;13
TECH;66.79;73.59;81.34;62.94;69.92;-9.24;-17.89;6.12;-4.48;-6.95;13
SWK;86.58;92.2;103.8;89.02;90.06;-6.1;-16.59;-2.74;-3.86;-7.08;13
ABNB;132.19;134.79;139.56;158.57;144.14;-1.93;-5.28;-16.64;-8.29;-6.81;13
FMC;55.23;64.42;57.26;57.36;54.13;-14.27;-3.55;-3.71;2.03;-6.75;13
CAG;26.61;28.27;29.61;29.72;27.46;-5.87;-10.13;-10.46;-3.1;-7.09;12
CSGP;73.35;72.79;78.02;91.53;83.48;0.77;-5.99;-19.86;-12.13;-7.29;12
ON;66.48;70.49;78.25;70.16;71.13;-5.69;-15.04;-5.25;-6.54;-7.64;12
IDXX;419.83;406.92;476.12;492.76;515.08;3.17;-11.82;-14.8;-18.49;-7.75;12
AOS;72.15;74.76;84.34;81.84;76.38;-3.49;-14.45;-11.84;-5.54;-7.76;12
DVN;38.77;38.25;46.16;49.76;40.15;1.36;-16.01;-22.09;-3.44;-7.76;11
DHR;230.06;245.42;276.51;245.85;238.91;-6.26;-16.8;-6.42;-3.7;-7.89;11
AMAT;170.73;181.23;211.41;197.57;163.06;-5.79;-19.24;-13.59;4.7;-7.94;11
LYB;83.2;85.67;96.78;96.07;89.25;-2.88;-14.03;-13.4;-6.78;-7.99;11
HSY;168.63;174.93;193.23;188.4;186.89;-3.6;-12.73;-10.49;-9.77;-8.04;11
CZR;36.54;40.05;39.95;35.82;43.87;-8.76;-8.54;2.01;-16.71;-8.15;10
KLAC;618.54;663.17;817.63;683.22;587.19;-6.73;-24.35;-9.47;5.34;-8.39;10
MDLZ;63.84;68.05;67.48;70.6;73.43;-6.19;-5.39;-9.58;-13.06;-8.08;10
AMD;138.93;144.07;144.48;158.38;167.69;-3.57;-3.84;-12.28;-17.15;-8.08;10
CVS;56.05;55.84;59.0;65.58;71.38;0.38;-5.0;-14.53;-21.48;-8.05;10
PARA;10.61;10.89;11.31;11.23;14.34;-2.57;-6.19;-5.52;-26.01;-8.57;9
IPG;27.52;29.1;31.51;29.5;31.65;-5.43;-12.66;-6.71;-13.05;-8.66;9
PFE;24.48;27.87;29.21;24.51;25.18;-12.16;-16.19;-0.12;-2.78;-8.68;9
TFX;194.08;200.41;219.84;207.42;240.88;-3.16;-11.72;-6.43;-19.43;-8.78;9
OXY;50.91;49.9;60.34;65.38;56.73;2.02;-15.63;-22.13;-10.26;-8.8;9
AMGN;276.55;315.42;325.24;265.91;302.66;-12.32;-14.97;4.0;-8.63;-8.85;8
CRL;187.5;178.58;244.1;229.0;216.28;4.99;-23.19;-18.12;-13.31;-8.93;8
INTC;24.84;21.38;30.42;30.07;42.37;16.18;-18.34;-17.39;-41.37;-8.95;8
NKE;74.89;76.79;74.24;91.17;99.99;-2.47;0.88;-17.86;-25.1;-9.4;8
MOS;25.81;26.55;29.33;30.72;29.88;-2.79;-12.0;-15.98;-13.62;-9.44;8
DXCM;76.27;70.48;67.82;127.39;121.35;8.22;12.46;-40.13;-37.15;-9.68;7
HUM;271.35;257.12;359.73;299.76;374.4;5.53;-24.57;-9.48;-27.52;-10.1;7
KHC;31.07;33.08;34.41;37.3;35.47;-6.08;-9.71;-16.7;-12.4;-10.19;7
BAX;33.02;35.43;35.24;39.44;37.5;-6.8;-6.3;-16.28;-11.95;-9.63;7
MTD;1174.56;1291.75;1521.03;1229.7;1197.19;-9.07;-22.78;-4.48;-1.89;-9.46;7
TMO;501.29;545.97;612.53;567.6;537.55;-8.18;-18.16;-11.68;-6.75;-10.59;6
ULTA;353.35;368.98;364.89;404.84;502.05;-4.24;-3.16;-12.72;-29.62;-10.8;6
LRCX;70.57;72.1;89.16;86.38;79.48;-2.12;-20.85;-18.3;-11.21;-10.92;6
IQV;191.04;205.82;246.23;231.77;208.23;-7.18;-22.41;-17.57;-8.26;-12.52;6
MOH;292.19;321.22;341.27;342.1;356.44;-9.04;-14.38;-14.59;-18.03;-13.02;6
MRK;96.56;101.64;111.71;126.79;117.66;-5.0;-13.56;-23.84;-17.93;-13.07;5
HII;196.3;184.11;277.25;272.99;253.85;6.62;-29.2;-28.09;-22.67;-13.34;5
ELV;400.7;404.54;528.83;523.7;487.39;-0.95;-24.23;-23.49;-17.79;-13.48;5
DOW;44.22;48.74;53.11;54.79;50.91;-9.27;-16.74;-19.29;-13.14;-13.54;5
SWKS;83.99;87.01;112.06;104.45;101.63;-3.47;-25.05;-19.59;-17.36;-13.79;5
CNC;58.83;62.26;76.92;73.06;75.31;-5.51;-23.52;-19.48;-21.88;-15.18;4
BA;143.87;149.31;190.6;167.84;211.04;-3.64;-24.52;-14.28;-31.83;-15.58;4
REGN;762.0;838.2;1079.19;890.66;942.78;-9.09;-29.39;-14.45;-19.18;-16.24;4
CDW;178.07;187.72;216.95;239.97;224.31;-5.14;-17.92;-25.79;-20.61;-14.92;4
MTCH;30.51;36.03;38.14;30.82;38.38;-15.32;-20.01;-1.01;-20.51;-14.43;4
APA;22.46;23.37;30.64;30.65;30.29;-3.89;-26.7;-26.72;-25.85;-17.41;3
AKAM;85.96;101.08;98.28;100.93;123.23;-14.96;-12.54;-14.83;-30.24;-17.51;3
MPWR;587.84;758.27;860.59;666.14;598.91;-22.48;-31.69;-11.75;-1.85;-18.05;3
AES;13.6;16.16;17.43;17.37;16.02;-15.84;-21.97;-21.7;-15.11;-18.09;3
MCHP;65.25;72.97;87.88;90.56;83.43;-10.58;-25.75;-27.95;-21.79;-19.33;3
QRVO;66.32;71.26;119.8;116.84;99.74;-6.93;-44.64;-43.24;-33.51;-27.05;2
DG;77.09;79.48;119.01;137.08;129.5;-3.01;-35.22;-43.76;-40.47;-25.09;2
DLTR;66.53;64.64;104.34;118.25;130.62;2.92;-36.24;-43.74;-49.07;-24.64;2
BIIB;157.94;174.0;213.2;214.82;246.66;-9.23;-25.92;-26.48;-35.97;-21.37;2
APTV;52.71;56.83;69.39;71.0;81.33;-7.25;-24.04;-25.76;-35.19;-19.9;2
WBA;8.4;8.97;11.1;16.39;20.38;-6.35;-24.32;-48.75;-58.78;-28.91;1
EL;64.57;68.44;98.35;144.21;129.06;-5.65;-34.35;-55.23;-49.97;-30.17;1
ENPH;62.4;83.04;115.11;108.76;104.13;-24.86;-45.79;-42.63;-40.07;-35.64;1
CE;73.0;125.28;139.67;150.61;143.43;-41.73;-47.73;-51.53;-49.1;-46.36;1
MRNA;39.51;54.36;119.22;110.31;101.05;-27.32;-66.86;-64.18;-60.9;-49.32;1
SMCI;21.54;29.11;70.17;85.88;52.96;-26.0;-69.3;-74.92;-59.33;-51.11;1
