Symbol;last price;price 3mo;price 6mo;price 9mo;price 12mo;change 3mo;change 6mo;change 9mo;change 12mo
COP;112.97;108.00;108.94;122.20;108.28;4.60;3.70;-7.55;4.33
BSX;90.45;84.02;73.88;71.87;63.26;7.65;22.43;25.85;42.98
PANW;386.83;360.33;324.73;290.89;338.51;7.35;19.12;32.98;14.27
C;68.39;63.00;63.15;59.13;53.46;8.56;8.30;15.66;27.93
LMT;530.96;543.02;535.31;455.91;418.10;-2.22;-0.81;16.46;26.99
VRTX;467.01;475.98;495.72;392.81;433.38;-1.88;-5.79;18.89;7.76
ADP;297.89;287.79;259.80;237.92;240.29;3.51;14.66;25.21;23.97
ANET;370.47;386.44;346.55;256.56;258.68;-4.13;6.90;44.40;43.22
FI;212.74;197.90;163.57;152.67;141.87;7.50;30.06;39.35;49.95
BMY;56.80;55.15;46.33;42.31;46.52;2.99;22.60;34.25;22.10
CB;288.73;281.55;273.84;246.18;241.66;2.55;5.44;17.28;19.48
GILD;88.46;88.00;74.44;63.17;75.14;0.52;18.83;40.03;17.73
UPS;133.49;130.77;125.77;140.69;133.80;2.08;6.14;-5.12;-0.23
NKE;74.89;76.79;74.24;91.17;99.99;-2.47;0.88;-17.86;-25.10
SBUX;99.78;96.52;76.43;86.24;90.17;3.38;30.55;15.70;10.66
MDT;87.59;88.55;78.99;78.26;84.67;-1.08;10.89;11.92;3.45
MU;97.51;99.54;109.60;112.63;85.38;-2.04;-11.03;-13.42;14.21
MMC;223.67;217.44;220.92;197.26;191.05;2.87;1.24;13.39;17.07
PLD;114.65;112.11;124.05;99.69;122.98;2.27;-7.58;15.01;-6.77
DE;404.53;403.27;369.23;387.08;387.80;0.31;9.56;4.51;4.31
INTC;24.84;21.38;30.42;30.07;42.37;16.18;-18.34;-17.39;-41.37
ADI;209.65;222.24;229.56;198.10;189.06;-5.67;-8.67;5.83;10.89
BA;143.87;149.31;190.60;167.84;211.04;-3.64;-24.52;-14.28;-31.83
SHW;374.66;357.39;348.66;297.12;301.16;4.83;7.46;26.10;24.41
LRCX;70.57;72.10;89.16;86.38;79.48;-2.12;-20.85;-18.30;-11.21
SO;87.32;89.54;81.41;70.89;66.38;-2.48;7.26;23.18;31.55
ELV;400.70;404.54;528.83;523.70;487.39;-0.95;-24.23;-23.49;-17.79
DELL;136.01;123.19;112.89;123.29;81.62;10.41;20.48;10.32;66.64
MO;56.34;53.41;47.04;41.13;36.80;5.49;19.77;36.98;53.10
TT;409.27;369.25;332.58;314.79;249.18;10.84;23.06;30.01;64.25
AMT;198.84;212.00;217.01;167.41;189.42;-6.21;-8.37;18.77;4.97
CI;322.45;313.60;345.91;352.74;295.94;2.82;-6.78;-8.59;8.96
GEV;325.37;254.98;171.51;;;27.61;89.71;;
ICE;157.69;155.44;150.64;127.56;125.69;1.45;4.68;23.62;25.46
PH;690.05;630.82;556.65;538.97;457.79;9.39;23.96;28.03;50.74
WM;218.31;215.07;201.18;205.77;182.86;1.51;8.51;6.09;19.39
MDLZ;63.84;68.05;67.48;70.60;73.43;-6.19;-5.39;-9.58;-13.06
CTAS;215.81;203.76;188.71;162.26;147.51;5.91;14.36;33.00;46.30
HCA;335.85;358.14;361.74;308.07;302.49;-6.22;-7.16;9.02;11.03
APH;69.88;66.85;63.99;60.01;50.13;4.53;9.20;16.45;39.40
MCO;471.94;453.21;454.70;368.06;388.81;4.13;3.79;28.22;21.38
EQIX;905.19;899.16;778.28;696.95;808.70;0.67;16.31;29.88;11.93
KLAC;618.54;663.17;817.63;683.22;587.19;-6.73;-24.35;-9.47;5.34
PYPL;84.67;79.30;65.78;67.92;61.35;6.77;28.72;24.66;38.01
DUK;112.47;113.13;106.17;94.41;91.02;-0.58;5.93;19.13;23.57
CRWD;342.97;296.87;231.96;292.54;292.50;15.53;47.86;17.24;17.25
SNPS;523.98;513.61;558.32;530.59;533.35;2.02;-6.15;-1.25;-1.76
REGN;762.00;838.20;1079.19;890.66;942.78;-9.09;-29.39;-14.45;-19.18
ABNB;132.19;134.79;139.56;158.57;144.14;-1.93;-5.28;-16.64;-8.29
WELL;136.33;133.45;109.39;93.08;83.92;2.16;24.63;46.47;62.45
CDNS;294.33;276.12;267.66;275.63;288.46;6.59;9.96;6.78;2.03
PNC;206.83;186.70;177.89;149.03;145.54;10.78;16.27;38.78;42.11
MSI;490.35;448.35;397.00;336.55;316.10;9.37;23.51;45.70;55.12
CMG;58.81;55.77;54.32;63.19;48.18;5.45;8.27;-6.93;22.06
AON;379.81;365.44;327.23;280.24;295.94;3.93;16.07;35.53;28.34
CME;227.56;224.18;191.60;206.27;196.57;1.51;18.77;10.32;15.77
GD;286.00;290.21;295.80;282.90;259.74;-1.45;-3.31;1.10;10.11
ITW;270.06;259.65;244.42;240.02;255.17;4.01;10.49;12.52;5.84
ZTS;176.42;178.36;179.19;158.04;185.97;-1.09;-1.55;11.63;-5.14
USB;50.61;47.78;43.84;39.24;39.67;5.92;15.44;28.98;27.58
MAR;281.45;259.28;226.05;234.33;237.30;8.55;24.51;20.11;18.61
MCK;615.60;499.95;615.56;535.31;497.44;23.13;0.01;15.00;23.75
EOG;136.54;121.09;125.02;129.40;109.17;12.76;9.21;5.52;25.07
CL;94.62;93.24;98.20;90.47;82.38;1.48;-3.65;4.59;14.86
EMR;128.63;107.28;115.51;105.78;89.50;19.90;11.36;21.60;43.72
NOC;488.68;507.02;480.29;479.02;439.48;-3.62;1.75;2.02;11.20
FTNT;91.88;78.66;58.04;63.18;64.49;16.81;58.30;45.43;42.47
MMM;129.48;127.11;125.32;93.28;75.06;1.86;3.32;38.81;72.50
TDG;1252.35;1233.47;1225.82;1182.07;998.23;1.53;2.16;5.95;25.46
FDX;295.21;272.51;299.14;257.78;236.49;8.33;-1.31;14.52;24.83
TGT;156.56;148.88;148.22;157.47;134.65;5.16;5.63;-0.58;16.27
ORLY;1216.67;1153.14;1126.34;1013.26;1023.05;5.51;8.02;20.07;18.93
CEG;229.92;262.06;188.86;184.66;120.88;-12.26;21.74;24.51;90.21
APD;327.89;308.68;260.48;231.62;249.01;6.22;25.88;41.56;31.68
ECL;245.97;245.18;229.63;224.55;196.24;0.32;7.12;9.54;25.34
COF;182.27;161.54;149.61;141.10;132.36;12.83;21.83;29.18;37.71
CVS;56.05;55.84;59.00;65.58;71.38;0.38;-5.00;-14.53;-21.48
CSX;34.97;33.52;34.85;32.88;35.21;4.33;0.34;6.36;-0.68
WMB;57.86;51.82;42.00;37.03;33.04;11.66;37.76;56.25;75.12
CARR;74.05;72.53;67.52;60.96;54.06;2.10;9.67;21.47;36.98
SPG;180.85;167.01;149.56;135.22;131.45;8.29;20.92;33.75;37.58
ADSK;302.05;283.80;247.52;212.85;253.81;6.43;22.03;41.91;19.01
BDX;224.10;232.64;239.13;231.78;234.98;-3.67;-6.29;-3.31;-4.63
RSG;209.08;197.43;193.22;190.08;169.13;5.90;8.21;10.00;23.62
AJG;293.59;280.63;282.24;233.08;230.05;4.62;4.02;25.96;27.62
GM;56.25;50.63;44.09;44.17;38.38;11.10;27.58;27.35;46.56
OKE;111.36;94.75;81.50;76.44;65.01;17.53;36.64;45.68;71.30
CHTR;385.02;327.61;379.72;255.94;370.71;17.52;1.40;50.43;3.86
RCL;231.76;205.87;156.35;139.30;127.20;12.58;48.23;66.37;82.20
FCX;43.55;44.88;45.14;49.49;39.19;-2.96;-3.52;-12.00;11.13
TFC;46.26;42.04;43.06;35.66;34.59;10.04;7.43;29.73;33.74
SLB;43.49;39.81;47.67;46.61;47.57;9.24;-8.77;-6.69;-8.58
HLT;248.89;234.55;214.23;196.73;190.26;6.11;16.18;26.51;30.82
AFL;112.04;104.29;94.38;82.25;82.51;7.43;18.71;36.22;35.79
ROP;549.37;536.98;543.27;509.36;534.03;2.31;1.12;7.85;2.87
PCAR;111.59;103.68;97.82;104.93;95.74;7.63;14.08;6.35;16.56
DLR;183.29;176.88;147.15;135.45;135.86;3.62;24.56;35.32;34.91
NSC;260.81;247.72;245.41;225.19;228.37;5.28;6.28;15.82;14.21
KMI;27.78;24.23;20.61;17.55;15.98;14.65;34.79;58.29;73.84
PSA;337.29;326.31;290.24;251.85;271.92;3.36;16.21;33.92;24.04
TRV;262.69;244.87;214.43;209.24;207.31;7.28;22.51;25.54;26.71
SRE;92.92;82.75;78.81;69.90;69.26;12.29;17.90;32.93;34.16
GWW;1170.11;1105.00;971.00;914.08;886.45;5.89;20.51;28.01;32.00
MET;82.79;77.25;75.12;68.93;66.64;7.17;10.21;20.11;24.23
NXPI;220.19;233.47;261.07;253.06;207.04;-5.69;-15.66;-12.99;6.35
JCI;83.65;75.18;70.80;64.03;51.49;11.27;18.15;30.64;62.46
FICO;2272.31;1993.11;1600.00;1133.33;1198.83;14.01;42.02;100.50;89.54
BK;78.65;74.90;64.19;55.32;53.89;5.01;22.53;42.17;45.95
URI;831.38;809.39;752.13;661.97;617.68;2.72;10.54;25.59;34.60
CPRT;56.63;51.47;52.33;54.31;48.04;10.03;8.22;4.27;17.88
AMP;563.39;506.94;425.72;406.22;380.04;11.14;32.34;38.69;48.24
MNST;53.27;52.68;51.45;53.45;55.02;1.12;3.54;-0.34;-3.18
PSX;130.17;119.75;141.88;138.67;138.46;8.70;-8.25;-6.13;-5.99
FANG;181.00;173.80;196.96;192.56;144.07;4.14;-8.10;-6.00;25.63
DHI;161.06;168.32;178.82;141.32;141.41;-4.31;-9.93;13.97;13.90
AZO;3166.93;3009.00;3133.69;2956.40;2762.13;5.25;1.06;7.12;14.66
PAYX;140.83;137.31;125.14;115.30;117.22;2.56;12.54;22.14;20.14
ALL;199.97;185.61;169.33;167.32;151.75;7.74;18.09;19.51;31.78
MPC;159.92;144.77;175.34;179.12;162.34;10.46;-8.79;-10.72;-1.49
AEP;95.56;96.92;95.36;82.66;74.24;-1.40;0.21;15.61;28.72
CMI;364.02;327.02;288.37;277.38;233.21;11.31;26.23;31.24;56.09
O;56.52;58.34;55.88;51.34;51.44;-3.12;1.15;10.09;9.88
